,LotSize,,Objective fn value
"(1, 1, 1)",0,,143211
"(1, 1, 2)",1,,
"(1, 1, 3)",169,,
"(1, 1, 4)",169,,
"(1, 1, 5)",169,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",0,,
"(1, 3, 4)",0,,
"(1, 3, 5)",0,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",0,,
"(1, 4, 5)",0,,
"(2, 5, 1)",0,,
"(2, 5, 2)",0,,
"(2, 5, 3)",30,,
"(2, 5, 4)",165,,
"(2, 5, 5)",165,,
"(2, 6, 1)",0,,
"(2, 6, 2)",0,,
"(2, 6, 3)",154,,
"(2, 6, 4)",168,,
"(2, 6, 5)",168,,
"(2, 7, 1)",0,,
"(2, 7, 2)",0,,
"(2, 7, 3)",47,,
"(2, 7, 4)",127,,
"(2, 7, 5)",127,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",41,,
"(2, 8, 4)",44,,
"(2, 8, 5)",44,,
"(6, 9, 1)",0,,
"(6, 9, 2)",37,,
"(6, 9, 3)",165,,
"(6, 9, 4)",165,,
"(6, 9, 5)",165,,
"(6, 10, 1)",0,,
"(6, 10, 2)",0,,
"(6, 10, 3)",39,,
"(6, 10, 4)",165,,
"(6, 10, 5)",165,,
"(6, 11, 1)",0,,
"(6, 11, 2)",42,,
"(6, 11, 3)",168,,
"(6, 11, 4)",168,,
"(6, 11, 5)",168,,
"(7, 12, 1)",0,,
"(7, 12, 2)",0,,
"(7, 12, 3)",32,,
"(7, 12, 4)",115,,
"(7, 12, 5)",115,,
"(7, 13, 1)",0,,
"(7, 13, 2)",0,,
"(7, 13, 3)",12,,
"(7, 13, 4)",49,,
"(7, 13, 5)",49,,
"(4, 14, 1)",0,,
"(4, 14, 2)",0,,
"(4, 14, 3)",95,,
"(4, 14, 4)",174,,
"(4, 14, 5)",174,,
"(4, 15, 1)",0,,
"(4, 15, 2)",0,,
"(4, 15, 3)",141,,
"(4, 15, 4)",174,,
"(4, 15, 5)",174,,
"(4, 16, 1)",0,,
"(4, 16, 2)",76,,
"(4, 16, 3)",173,,
"(4, 16, 4)",173,,
"(4, 16, 5)",173,,
"(4, 17, 1)",0,,
"(4, 17, 2)",0,,
"(4, 17, 3)",111,,
"(4, 17, 4)",176,,
"(4, 17, 5)",176,,
"(5, 18, 1)",0,,
"(5, 18, 2)",0,,
"(5, 18, 3)",133,,
"(5, 18, 4)",176,,
"(5, 18, 5)",176,,
"(5, 19, 1)",0,,
"(5, 19, 2)",0,,
"(5, 19, 3)",79,,
"(5, 19, 4)",168,,
"(5, 19, 5)",168,,
"(5, 20, 1)",0,,
"(5, 20, 2)",79,,
"(5, 20, 3)",165,,
"(5, 20, 4)",165,,
"(5, 20, 5)",165,,
"(3, 21, 1)",0,,
"(3, 21, 2)",0,,
"(3, 21, 3)",162,,
"(3, 21, 4)",169,,
"(3, 21, 5)",169,,
"(3, 22, 1)",0,,
"(3, 22, 2)",0,,
"(3, 22, 3)",116,,
"(3, 22, 4)",165,,
"(3, 22, 5)",165,,
