,LotSize,,Objective fn Value
"(1, 1, 1)",0,,97407
"(1, 1, 2)",430,,
"(1, 1, 3)",499,,
"(1, 1, 4)",481,,
"(1, 1, 5)",465,,
"(1, 2, 1)",0,,
"(1, 2, 2)",0,,
"(1, 2, 3)",0,,
"(1, 2, 4)",0,,
"(1, 2, 5)",0,,
"(1, 3, 1)",0,,
"(1, 3, 2)",0,,
"(1, 3, 3)",48,,
"(1, 3, 4)",261,,
"(1, 3, 5)",261,,
"(1, 4, 1)",0,,
"(1, 4, 2)",0,,
"(1, 4, 3)",0,,
"(1, 4, 4)",13,,
"(1, 4, 5)",25,,
"(2, 5, 1)",0,,
"(2, 5, 2)",0,,
"(2, 5, 3)",114,,
"(2, 5, 4)",170,,
"(2, 5, 5)",165,,
"(2, 6, 1)",0,,
"(2, 6, 2)",53,,
"(2, 6, 3)",149,,
"(2, 6, 4)",173,,
"(2, 6, 5)",169,,
"(2, 7, 1)",0,,
"(2, 7, 2)",0,,
"(2, 7, 3)",82,,
"(2, 7, 4)",135,,
"(2, 7, 5)",127,,
"(2, 8, 1)",0,,
"(2, 8, 2)",0,,
"(2, 8, 3)",1,,
"(2, 8, 4)",29,,
"(2, 8, 5)",29,,
"(6, 9, 1)",3,,
"(6, 9, 2)",160,,
"(6, 9, 3)",148,,
"(6, 9, 4)",170,,
"(6, 9, 5)",166,,
"(6, 10, 1)",0,,
"(6, 10, 2)",144,,
"(6, 10, 3)",150,,
"(6, 10, 4)",168,,
"(6, 10, 5)",164,,
"(6, 11, 1)",0,,
"(6, 11, 2)",49,,
"(6, 11, 3)",140,,
"(6, 11, 4)",174,,
"(6, 11, 5)",168,,
"(7, 12, 1)",0,,
"(7, 12, 2)",31,,
"(7, 12, 3)",103,,
"(7, 12, 4)",117,,
"(7, 12, 5)",115,,
"(7, 13, 1)",0,,
"(7, 13, 2)",4,,
"(7, 13, 3)",43,,
"(7, 13, 4)",51,,
"(7, 13, 5)",48,,
"(4, 14, 1)",32,,
"(4, 14, 2)",161,,
"(4, 14, 3)",161,,
"(4, 14, 4)",177,,
"(4, 14, 5)",172,,
"(4, 15, 1)",0,,
"(4, 15, 2)",24,,
"(4, 15, 3)",175,,
"(4, 15, 4)",179,,
"(4, 15, 5)",174,,
"(4, 16, 1)",0,,
"(4, 16, 2)",143,,
"(4, 16, 3)",153,,
"(4, 16, 4)",177,,
"(4, 16, 5)",173,,
"(4, 17, 1)",0,,
"(4, 17, 2)",78,,
"(4, 17, 3)",169,,
"(4, 17, 4)",181,,
"(4, 17, 5)",177,,
"(5, 18, 1)",0,,
"(5, 18, 2)",77,,
"(5, 18, 3)",166,,
"(5, 18, 4)",182,,
"(5, 18, 5)",176,,
"(5, 19, 1)",0,,
"(5, 19, 2)",27,,
"(5, 19, 3)",167,,
"(5, 19, 4)",173,,
"(5, 19, 5)",167,,
"(5, 20, 1)",145,,
"(5, 20, 2)",190,,
"(5, 20, 3)",173,,
"(5, 20, 4)",182,,
"(5, 20, 5)",176,,
"(3, 21, 1)",0,,
"(3, 21, 2)",36,,
"(3, 21, 3)",169,,
"(3, 21, 4)",172,,
"(3, 21, 5)",169,,
"(3, 22, 1)",0,,
"(3, 22, 2)",80,,
"(3, 22, 3)",163,,
"(3, 22, 4)",172,,
"(3, 22, 5)",166,,
