,LotSize
"(1, 1, 1)",294.0
"(1, 1, 2)",460.0
"(1, 1, 3)",432.0
"(1, 1, 4)",383.0
"(1, 1, 5)",354.0
"(1, 2, 1)",0.0
"(1, 2, 2)",66.0
"(1, 2, 3)",77.0
"(1, 2, 4)",32.0
"(1, 2, 5)",44.0
"(1, 3, 1)",101.0
"(1, 3, 2)",251.0
"(1, 3, 3)",251.0
"(1, 3, 4)",251.0
"(1, 3, 5)",251.0
"(1, 4, 1)",0.0
"(1, 4, 2)",0.0
"(1, 4, 3)",0.0
"(1, 4, 4)",20.0
"(1, 4, 5)",23.0
"(2, 5, 1)",94.0
"(2, 5, 2)",148.0
"(2, 5, 3)",159.0
"(2, 5, 4)",126.0
"(2, 5, 5)",132.0
"(2, 6, 1)",86.0
"(2, 6, 2)",157.0
"(2, 6, 3)",152.0
"(2, 6, 4)",126.0
"(2, 6, 5)",135.0
"(2, 7, 1)",48.0
"(2, 7, 2)",126.0
"(2, 7, 3)",111.0
"(2, 7, 4)",112.0
"(2, 7, 5)",108.0
"(2, 8, 1)",23.0
"(2, 8, 2)",38.0
"(2, 8, 3)",40.0
"(2, 8, 4)",32.0
"(2, 8, 5)",38.0
"(6, 9, 1)",83.0
"(6, 9, 2)",159.0
"(6, 9, 3)",155.0
"(6, 9, 4)",129.0
"(6, 9, 5)",135.0
"(6, 10, 1)",86.0
"(6, 10, 2)",180.0
"(6, 10, 3)",163.0
"(6, 10, 4)",140.0
"(6, 10, 5)",137.0
"(6, 11, 1)",74.0
"(6, 11, 2)",154.0
"(6, 11, 3)",151.0
"(6, 11, 4)",132.0
"(6, 11, 5)",144.0
"(7, 12, 1)",18.0
"(7, 12, 2)",118.0
"(7, 12, 3)",109.0
"(7, 12, 4)",91.0
"(7, 12, 5)",91.0
"(7, 13, 1)",4.0
"(7, 13, 2)",43.0
"(7, 13, 3)",42.0
"(7, 13, 4)",30.0
"(7, 13, 5)",40.0
"(4, 14, 1)",99.0
"(4, 14, 2)",186.0
"(4, 14, 3)",180.0
"(4, 14, 4)",155.0
"(4, 14, 5)",162.0
"(4, 15, 1)",99.0
"(4, 15, 2)",177.0
"(4, 15, 3)",167.0
"(4, 15, 4)",135.0
"(4, 15, 5)",142.0
"(4, 16, 1)",74.0
"(4, 16, 2)",161.0
"(4, 16, 3)",169.0
"(4, 16, 4)",134.0
"(4, 16, 5)",148.0
"(4, 17, 1)",87.0
"(4, 17, 2)",172.0
"(4, 17, 3)",164.0
"(4, 17, 4)",146.0
"(4, 17, 5)",146.0
"(5, 18, 1)",83.0
"(5, 18, 2)",163.0
"(5, 18, 3)",155.0
"(5, 18, 4)",139.0
"(5, 18, 5)",135.0
"(5, 19, 1)",86.0
"(5, 19, 2)",156.0
"(5, 19, 3)",150.0
"(5, 19, 4)",128.0
"(5, 19, 5)",134.0
"(5, 20, 1)",64.0
"(5, 20, 2)",154.0
"(5, 20, 3)",140.0
"(5, 20, 4)",125.0
"(5, 20, 5)",128.0
"(3, 21, 1)",113.0
"(3, 21, 2)",181.0
"(3, 21, 3)",160.0
"(3, 21, 4)",139.0
"(3, 21, 5)",174.0
"(3, 22, 1)",78.0
"(3, 22, 2)",175.0
"(3, 22, 3)",137.0
"(3, 22, 4)",159.0
"(3, 22, 5)",140.0
